team_key,manager_name,start_date,end_date
AFCBOURNEMOUTH,Eddie Howe,2012-10-12,2020-08-01
AFCBOURNEMOUTH,Scott Parker,2021-06-28,2022-08-30
AFCBOURNEMOUTH,Andoni Iraola,2023-06-19,2026-05-24
AFCBOURNEMOUTH,Marco Rose†,2026-06-01,
ARSENAL,George Graham,1986-05-14,1995-02-21
ARSENAL,Stewart Houston,1995-02-22,1995-06-08
ARSENAL,Bruce Rioch,1995-06-08,1996-08-12
ARSENAL,Stewart Houston,1996-08-12,1996-09-13
ARSENAL,Pat Rice,1996-09-13,1996-09-30
ARSENAL,Arsène Wenger,1996-10-01,2018-05-13
ARSENAL,Unai Emery,2018-05-23,2019-11-29
ARSENAL,Freddie Ljungberg,2019-11-29,2019-12-21
ARSENAL,Mikel Arteta†,2019-12-22,
ASTONVILLA,Ron Atkinson,1991-06-07,1994-11-10
ASTONVILLA,Jim Barron,1994-11-11,1994-11-24
ASTONVILLA,Brian Little,1994-11-25,1998-02-24
ASTONVILLA,John Gregory,1998-02-25,2002-01-24
ASTONVILLA,John Deehan,2002-01-24,2002-02-05
ASTONVILLA,Stuart Gray,2002-01-24,2002-02-05
ASTONVILLA,Graham Taylor,2002-02-05,2003-05-14
ASTONVILLA,David O'Leary,2003-05-20,2006-07-19
ASTONVILLA,Martin O'Neill,2006-08-05,2010-08-09
ASTONVILLA,Kevin MacDonald,2010-08-09,2010-09-08
ASTONVILLA,Gérard Houllier,2010-09-08,2011-06-01
ASTONVILLA,Gary McAllister,2011-04-23,2011-05-22
ASTONVILLA,Alex McLeish,2011-06-17,2012-05-14
ASTONVILLA,Paul Lambert,2012-06-02,2015-02-11
ASTONVILLA,Scott Marshall,2015-02-11,2015-02-14
ASTONVILLA,Tim Sherwood,2015-02-14,2015-10-25
ASTONVILLA,Kevin MacDonald,2015-10-25,2015-11-02
ASTONVILLA,Rémi Garde,2015-11-02,2016-03-29
ASTONVILLA,Eric Black,2016-03-29,2016-06-02
ASTONVILLA,Dean Smith,2018-10-10,2021-11-07
ASTONVILLA,Steven Gerrard,2021-11-11,2022-10-20
ASTONVILLA,Aaron Danks,2022-10-21,2022-10-31
ASTONVILLA,Unai Emery†,2022-11-01,
BARNSLEY,Danny Wilson,1994-06-02,1998-07-07
BIRMINGHAMCITY,Steve Bruce,2001-12-12,2007-11-23
BIRMINGHAMCITY,Eric Black,2007-11-23,2007-11-27
BIRMINGHAMCITY,Alex McLeish,2007-11-28,2011-06-12
