manager_name,clubs_managed,titles_won,tier
Alex Ferguson,MANCHESTERUNITED,13,top
Pep Guardiola,MANCHESTERCITY,6,top
Arsène Wenger,ARSENAL,3,top
José Mourinho,CHELSEA;MANCHESTERUNITED;TOTTENHAMHOTSPUR,3,top
Antonio Conte,CHELSEA;TOTTENHAMHOTSPUR,1,mid
Arne Slot,LIVERPOOL,1,mid
Carlo Ancelotti,CHELSEA;EVERTON,1,mid
Claudio Ranieri,CHELSEA;FULHAM;LEICESTERCITY;WATFORD,1,mid
Jürgen Klopp,LIVERPOOL,1,mid
Kenny Dalglish,BLACKBURNROVERS;LIVERPOOL;NEWCASTLEUNITED,1,mid
Manuel Pellegrini,MANCHESTERCITY;WESTHAMUNITED,1,mid
Mikel Arteta,ARSENAL,1,mid
Roberto Mancini,MANCHESTERCITY,1,mid
Aaron Danks,ASTONVILLA,0,low
Adam Sadler,LEICESTERCITY,0,low
Aidy Boothroyd,WATFORD,0,low
Aitor Karanka,MIDDLESBROUGH,0,low
Alain Perrin,PORTSMOUTH,0,low
Alan Ball,MANCHESTERCITY;SOUTHAMPTON,0,low
Alan Curbishley,CHARLTONATHLETIC;WESTHAMUNITED,0,low
Alan Curtis,SWANSEACITY,0,low
Alan Irvine,WESTBROMWICHALBION,0,low
Alan Pardew,CHARLTONATHLETIC;CRYSTALPALACE;NEWCASTLEUNITED;WESTBROMWICHALBION;WESTHAMUNITED,0,low
Alan Shearer,NEWCASTLEUNITED,0,low
Alan Smith,CRYSTALPALACE,0,low
Alex Inglethorpe,TOTTENHAMHOTSPUR,0,low
Alex McLeish,ASTONVILLA;BIRMINGHAMCITY,0,low
Alex Neil,NORWICHCITY,0,low
Andoni Iraola,AFCBOURNEMOUTH;LIVERPOOL,0,low
André Villas-Boas,CHELSEA;TOTTENHAMHOTSPUR,0,low
Ange Postecoglou,NOTTINGHAMFOREST;TOTTENHAMHOTSPUR,0,low
Archie Knox,BOLTONWANDERERS,0,low
Attilio Lombardo,CRYSTALPALACE,0,low
Avram Grant,CHELSEA;PORTSMOUTH;WESTHAMUNITED,0,low
Ben Dawson,LEICESTERCITY,0,low
Billy Bonds,WESTHAMUNITED,0,low
Billy Davies,DERBYCOUNTY,0,low
Billy McEwan,DERBYCOUNTY,0,low
Bob Bradley,SWANSEACITY,0,low
Bobby Gould,COVENTRYCITY,0,low
Bobby Robson,NEWCASTLEUNITED,0,low
Brendan Rodgers,LEICESTERCITY;LIVERPOOL;SWANSEACITY,0,low
Brian Clough,NOTTINGHAMFOREST,0,low
Brian Horton,MANCHESTERCITY,0,low
Brian Kidd,BLACKBURNROVERS;MANCHESTERCITY,0,low
Brian Laws,BURNLEY,0,low
Brian Little,ASTONVILLA;LEICESTERCITY,0,low
Brian McDermott,READING,0,low
Bruce Rioch,ARSENAL,0,low
Bruno Lage,WOLVERHAMPTONWANDERERS,0,low
Bruno Saltor,CHELSEA,0,low
Bryan Robson,MIDDLESBROUGH;WESTBROMWICHALBION,0,low
Calum McFarlane,CHELSEA,0,low
Carlos Carvalhal,SWANSEACITY,0,low
Chris Coleman,FULHAM,0,low
