manager_name,titles_won,title_seasons,clubs
Alex Ferguson,13,1992–93;1993–94;1995–96;1996–97;1998–99;1999–2000;2000–01;2002–03;2006–07;2007–08;2008–09;2010–11;2012–13,Manchester United
Pep Guardiola,6,2017–18;2018–19;2020–21;2021–22;2022–23;2023–24,Manchester City
Arsène Wenger,3,1997–98;2001–02;2003–04,Arsenal
José Mourinho,3,2004–05;2005–06;2014–15,Chelsea
Antonio Conte,1,2016–17,Chelsea
Carlo Ancelotti,1,2009–10,Chelsea
Arne Slot,1,2024–25,Liverpool
Jürgen Klopp,1,2019–20,Liverpool
Claudio Ranieri,1,2015–16,Leicester City
Kenny Dalglish,1,1994–95,Blackburn Rovers
Manuel Pellegrini,1,2013–14,Manchester City
Mikel Arteta,1,2025–26,Arsenal
Roberto Mancini,1,2011–12,Manchester City
